"year","cc","share_for_maj","share_aut","share_dem","state_dummy","state_percent","number_comp","country_text_id","v2x_regime","v2x_polyarchy","v2clkill","v2cltrnslw","v2x_execorr","v2x_ex_military","v2x_ex_hereditary","v2exl_legitperf","v2smgovfilcap","v2smgovfilprc","v2smgovshutcap","v2smgovshut","v2smgovsm","v2smgovsmmon","v2smgovsmcenprc","v2smgovshut_ord","v2smgovfilprc_ord","e_pt_coup","v2clkill_inv","PTS_A","PTS_H","PTS_S","theta_mean","theta_sd","killing_estimate_mean","killing_estimate_median","theta_mean_inv","nat_resources","gdppc","gdppc_growth","pop_total","pop_rural","trade","penetration","no_protests","no_riots","no_vio_against_civ","no_fatalities","pci_score","PTS_S_before","PTS_S_before2","theta_mean_inv_before","theta_mean_inv_before2","v2clkill_before","v2clkill_before2"
2000,"NIR",0.5,0.5,0,1,0.5,2,"NER",2,0.547,1.531,2.676,0.613,0.333,0,1.487,-1.301,-1.186,0.88,-0.033,-0.178,0.508,-0.454,3,2,0,-1.531,2,NA,2,0.581110976412919,0.251439573626651,0,0,4.75507117728278,7.26831682770737,192.877725789359,-4.53360569932079,11622665,9741420,34.7127807043604,0.036261294,0,4,1,0,NA,NA,NA,NA,NA,NA,NA
2000,"RWA",0,0,0,1,1,2,"RWA",0,0.114,-0.542,0.817,0.417,0.143,0,1.577,0.539,-1.684,0.187,0.783,0.026,-2.054,-1.541,4,1,0,0.542,4,NA,4,-1.35066589063815,0.175261449987061,2.83133333333333,0,6.68684804433384,5.03496552984893,255.111967825778,7.02924095460111,8109989,6899492,27.4833057162418,0.06283146,0,0,4,181,NA,NA,NA,NA,NA,NA,NA
2000,"SAF",0,0,0,1,0.25,4,"ZAF",3,0.745,1.296,1.643,0.503,0,0,0.986,-0.023,0.782,-0.428,0.667,1.722,0.668,1.877,4,3,0,-1.296,4,NA,2,-0.476571097231107,0.229950623908511,0,0,5.8127532509268,3.71688450048923,3241.66139605189,3.20151044858625,46813266,20180731,46.2207217354077,5.348559732,0,10,1,59,50,NA,NA,NA,NA,NA,NA
2000,"SEN",NA,0,0.5,0,0,2,"SEN",2,0.677,1.748,1.889,0.264,0.167,0,1.349,-0.767,1.024,0.433,1.171,0.876,-0.047,1.464,4,3,0,-1.748,3,NA,2,-0.199201076052299,0.248391139092036,0,0,5.53538322974799,2.30805328155825,619.642123524918,1.47078068161998,9704287,5791518,48.680089723263,0.403967486,0,1,0,85,35,NA,NA,NA,NA,NA,NA
2000,"SIE",0.5,0,0.5,1,0.5,2,"SLE",0,0.23,-0.978,-1.085,0.658,0.083,0,-0.323,-1.365,1.173,0.758,0.508,1.337,1.905,1.317,4,3,0,0.978,5,NA,4,-1.5779211231792,0.179426518124299,23.5193333333333,0,6.91410327687489,14.2566872840621,138.713941615327,4.11855452190922,4584067,2950947,57.5299628959222,0.118254246,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
2000,"SOM",NA,0,0,0,0,2,"SOM",0,0.177,-2.015,-2.158,0.942,0.083,0,-2.322,-1.125,-0.079,-2.786,-0.6,-0.489,-0.043,-0.19,3,3,0,2.015,4,NA,4,-1.24313173196702,0.188333112138377,0.916666666666667,0,6.57931388566272,NA,NA,NA,8721465,5821840,NA,0.02,0,0,1,33,NA,NA,NA,NA,NA,NA,NA
2000,"SUD",NA,0,0,0,0,2,"SDN",1,0.133,-1.436,-1.956,0.915,0.375,0,0.239,0.913,-2.742,0.133,-1.938,-2.369,-1.823,-1.477,2,0,0,1.436,5,NA,5,-2.05425036486136,0.131546996656489,399.014666666667,360,7.39043251855705,10.7834600175368,378.157501220703,3.29817914044712,26298773,17752987,29.4042344599492,0.025785032,5,12,7,3116,NA,NA,NA,NA,NA,NA,NA
2000,"SWA",0,0,0,1,1,2,"SWZ",0,0.125,1.141,-0.637,0.624,0.1,0.8,1.604,-0.764,-0.057,-0.363,-0.338,0.235,-1.346,-0.266,3,3,0,-1.141,2,NA,2,0.651343426648824,0.219841685808301,0,0,4.68483872704687,2.96474122584246,1686.6575322622,0.562746630940353,1030496,796718,156.40202388772,0.926191777,3,1,0,1,NA,NA,NA,NA,NA,NA,NA
2000,"TAZ",NA,0.166666666666667,0.333333333333333,1,0.333333333333333,6,"TZA",1,0.484,1.507,1.288,0.4,0.2,0,0.591,0.511,1.176,1.259,0.818,1.176,1.048,0.877,4,3,0,-1.507,3,NA,3,-0.635700072766527,0.291437719425123,0.0353333333333333,0,5.97188222646222,3.75533581161388,399.462768554688,1.60420802864729,34463704,26775196,23.9808676998549,0.11719444,0,2,0,64,25,NA,NA,NA,NA,NA,NA
2000,"TOG",0.5,0.5,0,1,0.5,2,"TGO",1,0.303,-0.506,-0.328,0.889,0.2,0,0.126,1.069,-0.879,1.983,-0.908,-1.219,-1.598,0.837,3,2,0,0.506,3,NA,2,-0.0770439428653483,0.220587297482973,0,0,5.41322609656104,7.14401583181283,297.899506747022,-3.55894727145665,5008035,3360041,68.6660318077529,0.8,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
